id	reg	vb	hinc	hmem	hint	fixline	hcar	sex	agecat	marits	red	empst	hhead	pinc	sim	seg_ls	dog	cat	q40_12	q34#11	q34#12	q34#13	q34#14	q34#15	q34#16	q34#17	q34#18	q34#19	q34#20	q34#21	q34#22	q34#23	q34#24	q34#25	q34#26	q34#27	q34#28	q34#29
1	71	2	15	1	1	1	1	2	6	2	1	8	1	19	1	3	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2	62	3	15	3	1	2	1	2	6	5	3	9	1	22	1	3	0	0	6	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
3	62	5	13	4	1	1	3	2	6	2	1	2	1	16	1	4	0	0	4	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4	61	1	17	2	1	1	1	2	6	2	1	9	2	24	1	3	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5	11	6	15	5	1	1	3	1	5	2	3	2	1	 	1	3	0	0	3	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0
6	42	4	15	3	1	2	1	2	6	2	1	2	1	19	1	6	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	1	1	0
7	53	1	16	4	1	2	1	1	1	1	1	1	2	 	1	8	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	11	6	14	4	1	2	1	2	4	2	3	6	2	31	1	3	0	0	6	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1
9	41	3	17	4	1	2	3	2	4	3	2	2	2	18	1	3	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0
10	53	2	14	5	1	1	2	2	6	5	3	2	1	18	1	1	1	0	5	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0
11	31	2	12	4	4	1	2	1	6	2	3	2	1	17	1	2	1	1	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
12	71	5	13	3	1	2	1	2	4	2	4	2	1	15	1	3	0	0	6	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
13	81	3	11	6	1	2	2	1	4	4	2	2	2	20	2	5	1	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
14	11	6	13	3	1	1	1	2	2	1	2	2	2	16	1	7	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0
15	42	3	13	6	1	2	1	1	5	2	1	2	1	17	1	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
16	31	3	18	4	1	1	3	2	1	1	2	1	2	 	1	5	1	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
17	11	6	16	3	1	2	3	1	1	1	1	1	2	28	1	2	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	42	3	14	5	1	2	1	2	2	3	2	6	1	20	1	3	1	0	2	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0
19	81	5	12	2	1	2	1	1	6	2	4	5	1	12	1	6	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
20	42	5	13	4	1	1	1	1	1	1	1	1	2	 	1	1	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21	21	2	15	2	1	1	2	1	1	1	3	1	1	31	1	6	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	32	5	13	3	1	2	2	1	2	1	3	2	2	16	1	5	1	1	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
23	42	5	14	4	1	1	1	1	6	2	3	2	2	18	2	6	0	1	6	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1
24	72	3	14	5	1	2	1	1	1	1	2	1	2	 	1	6	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	53	3	16	4	3	1	2	2	5	2	1	2	2	26	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
26	61	1	15	4	2	2	1	2	4	2	3	2	2	21	1	6	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
27	21	1	13	3	1	1	2	2	6	2	2	8	1	15	1	5	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
28	62	5	22	2	1	2	3	2	1	1	1	1	1	 	1	4	0	0	6	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
29	11	6	21	1	1	2	1	1	6	4	4	9	1	21	1	6	1	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
30	21	3	18	3	1	1	3	1	5	2	2	7	2	26	1	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
31	71	2	13	4	1	1	2	2	2	1	4	1	2	30	1	3	0	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
32	72	2	14	5	1	2	1	1	6	2	4	2	1	16	1	3	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
33	32	1	13	4	1	2	2	2	4	2	4	2	2	17	1	8	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	42	5	15	2	1	2	2	2	4	2	4	4	2	 	1	6	0	1	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
